exp,arm,depth,load_pct,size,trial,t0,submit,priority,alloc,start,finish,scout_start,scout_finish,bg_total,bg_done,work_s,load_cores,load_secs,timedout
e1,coscheduled,0,0,8,1,1788854227.592280010,1788854227.698338,1788854229.949050,1788854229.970067,1788854229.991223,1788854235.122738,1788854227.832955,1788854235.171826,1,1788854227.700011269,5,0,900,0
e1,baseline,0,0,8,1,1788854235.459986310,1788854235.651085,,1788854235.710232,1788854235.731402,1788854242.783544,,,1,1788854235.568152458,5,0,900,0
e1,baseline,0,0,8,2,1788854243.066328815,1788854243.260193,,1788854243.319623,1788854243.340874,1788854250.394598,,,1,1788854243.174593744,5,0,900,0
e1,coscheduled,0,0,8,2,1788854250.670872073,1788854250.871995,1788854253.109068,1788854253.117904,1788854253.138409,1788854258.255490,1788854251.003680,1788854258.301751,1,1788854250.778583527,5,0,900,0
e1,coscheduled,0,0,8,3,1788854258.596247617,1788854258.798007,1788854261.045251,1788854261.066339,1788854261.087686,1788854266.218782,1788854258.929035,1788854266.268561,1,1788854258.704664824,5,0,900,0
e1,baseline,0,0,8,3,1788854266.560010495,1788854266.753369,,1788854266.812932,1788854266.834463,1788854273.902631,,,1,1788854266.668484738,5,0,900,0
e1,baseline,0,0,8,4,1788854274.181230536,1788854274.375410,,1788854274.434758,1788854274.456239,1788854281.525340,,,1,1788854274.289885576,5,0,900,0
e1,coscheduled,0,0,8,4,1788854281.801944296,1788854282.004154,1788854284.251657,1788854284.272837,1788854284.294430,1788854289.427027,1788854282.135969,1788854289.476347,1,1788854281.910533670,5,0,900,0
e1,coscheduled,0,0,8,5,1788854289.767823565,1788854289.970381,1788854292.216737,1788854292.237961,1788854292.259299,1788854297.389989,1788854290.101490,1788854297.439671,1,1788854289.876585579,5,0,900,0
e1,baseline,0,0,8,5,1788854297.728911100,1788854297.921832,,1788854297.981350,1788854298.002879,1788854305.071715,,,1,1788854297.836784189,5,0,900,0
e1,coscheduled,0,0,8,6,1788854305.354780726,1788854305.557311,1788854307.804769,1788854307.825939,1788854307.847273,1788854312.978291,1788854305.688862,1788854313.028092,1,1788854305.463380867,5,0,900,0
e1,baseline,0,0,8,6,1788854313.321033290,1788854313.513604,,1788854313.573171,1788854313.594709,1788854320.662733,,,1,1788854313.428604134,5,0,900,0
e1,coscheduled,0,0,8,7,1788854320.943606437,1788854321.145261,1788854323.393426,1788854323.414615,1788854323.436011,1788854328.567340,1788854321.277148,1788854328.617877,1,1788854321.052008428,5,0,900,0
e1,baseline,0,0,8,7,1788854328.907765574,1788854329.099829,,1788854329.159534,1788854329.181047,1788854336.249499,,,1,1788854329.016243624,5,0,900,0
